ID_DATI_TECNICI,ID_OPERAZIONE,ID_FONTE,ID_TIPO_EVENTO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,TARGA,SCADENZA_ATTRIBUITA,TRASPORTO_MERCI,MASSA_COMPLESSIVA,KILO_WATT,PORTATA,FLAG_SOSPENSIONE,NUMERO_POSTI,NUMERO_ASSI,POTENZA_FISCALE,CILINDRATA,FLAG_ECODIESEL,FLAG_GANCIO,MASSA_RIMORCHIABILE,ID_TIPO_COMBUSTIBILE,ID_DESTINAZIONE_VEICOLO,ID_TIPO_CARROZZERIA,ID_TIPO_USO,FLAG_RIMORCHIABILITA,ID_CATEGORIA_EURO,EMISSIONE_CO2,DATA_INSTAL_GPL,DATA_DISINSTAL_GPL,DATA_COLLAUDO_GPL,ID_TIPO_COMBUSTIBILE_GAS,ID_ENTE_CERTIFICATORE_STORICO,COD_ISCRIZ_REGIST_VEIC_STORICO
500331,940000000000331,2,2,300331,2020-01-20,,SE435GS,2,N,3224,100,741,N,3,3,26,2213,S,N,1779,1,2,4,2,S,4,109,,,,,,
500332,940000000000332,3,3,300332,2022-02-22,,UK577ZC,6,N,1010,54,2157,N,5,2,30,2380,N,N,1827,1,3,5,3,S,4,158,,,,,,
500333,940000000000333,1,4,300333,2020-11-14,,NC855PE,2,N,4812,106,2600,N,3,4,12,1231,N,N,2474,3,4,6,4,N,5,86,,,,2,,
500334,940000000000334,2,5,300334,2021-06-14,,AF548LD,7,N,2725,62,304,N,5,1,28,1639,N,N,2495,1,5,7,5,S,6,185,,,,,,
500335,940000000000335,3,1,300335,2022-04-18,,XJ248PK,4,N,2245,129,2618,N,8,2,15,2371,S,S,1845,1,6,8,1,N,6,117,,,,,,
500336,940000000000336,1,2,300336,2025-06-23,,CY083CD,7,N,2314,150,2703,N,9,2,18,1759,S,S,1235,1,1,1,2,N,4,128,,,,,,
500337,940000000000337,2,3,300337,2024-05-20,,LZ669FD,11,N,3300,45,2026,N,4,1,20,1564,S,N,2026,3,2,2,3,N,6,94,,,,,,
500338,940000000000338,3,4,300338,2021-09-26,,DM418DC,6,N,15155,177,2565,N,5,1,13,2728,S,S,793,3,3,3,4,S,5,128,,,,,,
500339,940000000000339,1,5,300339,2023-12-08,,HE294SA,1,N,3118,114,2296,N,2,1,12,1526,N,S,1848,1,4,4,5,S,6,94,,,,,,
500340,940000000000340,2,1,300340,2019-06-14,,UG042EG,5,N,12041,80,997,N,4,3,17,2801,N,S,1588,1,5,5,1,N,4,123,,,,,1,STOR000340
500341,940000000000341,3,2,300341,2022-08-13,,BZ583LR,3,N,4672,119,904,N,5,4,11,1005,S,S,2388,1,6,6,2,S,4,144,,,,,,
500342,940000000000342,1,3,300342,2022-08-26,,KP429CD,8,N,14684,83,982,N,3,4,9,1770,S,N,1743,2,1,7,3,N,6,147,,,,2,,
500343,940000000000343,2,4,300343,2018-09-20,,YD192NZ,11,N,3230,130,2930,N,5,1,13,1943,N,S,1039,4,2,8,4,N,5,186,,,,,,
500344,940000000000344,3,5,300344,2025-04-07,,XJ209CH,1,N,2619,66,825,N,7,4,21,1672,S,S,829,4,3,1,5,S,4,146,,,,,,
500345,940000000000345,1,1,300345,2019-01-26,,XW505EB,9,S,16480,86,640,N,3,4,23,916,S,S,1363,1,4,2,1,N,6,200,,,,,,
500346,940000000000346,2,2,300346,2019-02-24,,WK656CL,10,N,2753,121,2951,N,8,3,33,2887,S,N,1651,1,5,3,2,S,6,77,,,,,,
500347,940000000000347,3,3,300347,2022-03-07,,PK698SY,10,N,2177,175,1794,N,3,3,14,1870,N,N,1832,3,6,4,3,S,5,120,,,,,,
500348,940000000000348,1,4,300348,2020-03-15,,EW980ET,3,N,3401,133,2570,N,7,4,27,1263,N,N,2135,1,1,5,4,N,6,154,,,,,,
500349,940000000000349,2,5,300349,2024-03-06,,FU175UC,2,N,1907,69,1328,N,3,3,12,1504,N,S,1574,1,2,6,5,S,4,121,,,,,,
500350,940000000000350,3,1,300350,2018-02-03,,LC789AZ,12,N,16905,107,524,N,2,3,32,1134,N,S,1883,2,3,7,1,N,5,140,,,,,,
500351,940000000000351,1,2,300351,2018-09-28,,DU790CH,4,N,2102,123,1539,N,4,3,12,2238,S,N,2168,3,4,8,2,S,4,148,,,,2,,
500352,940000000000352,2,3,300352,2021-05-07,,TU004UL,1,N,15786,119,239,N,8,3,14,2324,N,S,1988,2,5,1,3,N,6,138,,,,,,
500353,940000000000353,3,4,300353,2019-12-10,,WN984RU,4,N,2465,200,1355,N,6,3,14,3000,S,N,1957,3,6,2,4,N,5,134,,,,,,
500354,940000000000354,1,5,300354,2020-02-13,,FM870WB,6,N,2923,141,1187,N,6,4,11,2142,S,S,1623,4,1,3,5,S,5,104,,,,,,
500355,940000000000355,2,1,300355,2019-11-08,,MS721TD,2,N,1653,181,1434,N,5,3,18,990,N,S,1984,4,2,4,1,S,5,193,,,,,,
500356,940000000000356,3,2,300356,2025-01-23,,NZ067SA,8,N,15096,142,212,N,9,1,18,2671,S,N,994,3,3,5,2,N,6,217,,,,,,
500357,940000000000357,1,3,300357,2018-02-16,,WT610KF,8,S,10809,115,2428,N,3,2,17,1035,N,N,2480,4,4,6,3,N,4,138,,,,,1,STOR000357
500358,940000000000358,2,4,300358,2019-11-25,,JW357LC,4,N,12512,80,648,N,2,3,22,1081,S,N,1951,2,5,7,4,S,3,240,,,,,,
500359,940000000000359,3,5,300359,2021-08-08,,XJ573EY,2,N,2527,95,713,N,8,1,29,2969,S,N,2160,2,6,8,5,N,6,219,,,,,,
500360,940000000000360,1,1,300360,2020-04-11,,DT480TW,11,N,2175,87,1514,N,2,1,33,2090,N,N,823,2,1,1,1,N,3,128,,,,2,,
500361,940000000000361,2,2,300361,2021-07-12,,HG804VB,8,N,3293,95,1171,N,3,3,26,1794,S,N,2311,2,2,2,2,N,4,182,,,,,,
500362,940000000000362,3,3,300362,2019-12-15,,FU808JG,4,N,2934,43,1706,N,4,1,14,2079,N,S,2317,3,3,3,3,S,6,153,,,,,,
500363,940000000000363,1,4,300363,2025-10-02,,DP836HK,9,N,1395,196,2719,N,2,4,29,906,N,S,785,1,4,4,4,N,4,222,,,,,,
500364,940000000000364,2,5,300364,2023-05-25,,WG210BV,4,N,11976,76,2853,N,3,4,12,1950,S,S,1563,3,5,5,5,S,5,116,,,,,,
500365,940000000000365,3,1,300365,2025-02-22,,EL390KN,5,N,1751,124,485,N,5,3,34,1215,S,S,1529,3,6,6,1,S,5,131,,,,,,
500366,940000000000366,1,2,300366,2023-08-14,,FA483DT,8,N,1107,121,174,N,9,2,18,1921,N,N,524,1,1,7,2,N,5,154,,,,,,
500367,940000000000367,2,3,300367,2019-07-19,,KK502CR,8,N,2897,149,1545,N,3,3,35,946,N,N,1776,1,2,8,3,S,4,94,,,,,,
500368,940000000000368,3,4,300368,2022-03-26,,BW361BG,11,N,1447,46,1416,N,4,2,34,1455,S,N,1627,4,3,1,4,S,4,108,,,,,,
500369,940000000000369,1,5,300369,2020-07-18,,GW257JN,10,N,10529,151,2369,N,4,2,12,2503,N,S,658,4,4,2,5,N,4,238,,,,2,,
500370,940000000000370,2,1,300370,2025-03-12,,PU146VF,6,N,1099,160,2116,N,8,3,19,2103,N,S,1538,1,5,3,1,N,5,237,,,,,,
500371,940000000000371,3,2,300371,2022-12-10,,FZ257AZ,4,N,1738,143,1255,N,6,3,17,2083,S,S,1437,1,6,4,2,N,5,212,,,,,,
500372,940000000000372,1,3,300372,2025-09-03,,FZ613DB,4,N,2040,122,1190,N,9,2,23,984,S,S,1525,4,1,5,3,N,5,134,,,,,,
500373,940000000000373,2,4,300373,2019-06-13,,WY623RD,9,N,12383,156,440,N,7,3,14,1708,N,N,1498,3,2,6,4,N,4,219,,,,,,
500374,940000000000374,3,5,300374,2023-01-29,,XX999ZH,4,N,2563,205,568,N,7,1,16,2838,S,S,2169,4,3,7,5,N,6,123,,,,,1,STOR000374
500375,940000000000375,1,1,300375,2019-09-30,,PV944SD,8,S,11062,150,681,N,3,3,35,2127,N,N,1891,1,4,8,1,S,3,236,,,,,,
500376,940000000000376,2,2,300376,2024-04-05,,RF113FB,6,N,3656,180,2672,N,6,1,24,2034,N,S,2122,4,5,1,2,N,5,166,,,,,,
500377,940000000000377,3,3,300377,2021-07-11,,NR581CA,6,N,1114,220,2768,N,3,3,21,1981,N,S,2291,1,6,2,3,S,4,79,,,,,,
